"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7956003"	"1"	"0.0044408"	"-3.84"	"-2.93"	"-2.68e-01"	"OR6C4"	"olfactory receptor family 6 subfamily C member 4"
"7896274"	"1"	"0.0045063"	"3.83"	"-2.93"	"5.02e-01"	""	""
"8067836"	"1"	"0.0045737"	"-3.82"	"-2.94"	"-6.17e-01"	"LINC00314"	"long intergenic non-protein coding RNA 314"
"7893521"	"1"	"0.0046473"	"3.81"	"-2.94"	"2.78e-01"	""	""
"7993267"	"1"	"0.0049373"	"-3.77"	"-2.97"	"-3.29e-01"	"TNFRSF17"	"TNF receptor superfamily member 17"
"7912956"	"1"	"0.0049385"	"-3.77"	"-2.97"	"-2.20e-01"	"RCC2"	"regulator of chromosome condensation 2"
"7896288"	"1"	"0.0050765"	"3.75"	"-2.97"	"2.80e-01"	""	""
"8114010"	"1"	"0.0051212"	"-3.74"	"-2.98"	"-4.79e-01"	"IRF1"	"interferon regulatory factor 1"
"8022378"	"1"	"0.0051384"	"3.74"	"-2.98"	"4.10e-01"	""	""
"7956658"	"1"	"0.0051774"	"3.74"	"-2.98"	"7.43e-01"	"SLC16A7"	"solute carrier family 16 member 7"
"8036284"	"1"	"0.0052698"	"3.72"	"-2.99"	"2.44e-01"	"COX7A1"	"cytochrome c oxidase subunit 7A1"
"7907351"	"1"	"0.0052777"	"3.72"	"-2.99"	"2.84e-01"	""	""
"7895052"	"1"	"0.0053381"	"3.72"	"-2.99"	"3.58e-01"	""	""
"7959834"	"1"	"0.0055213"	"-3.69"	"-3"	"-4.57e-01"	"GLT1D1"	"glycosyltransferase 1 domain containing 1"
"8043185"	"1"	"0.0055704"	"-3.69"	"-3.01"	"-2.90e-01"	""	""
"7895184"	"1"	"0.0056277"	"3.68"	"-3.01"	"4.21e-01"	""	""
"7894199"	"1"	"0.0056582"	"-3.68"	"-3.01"	"-6.24e-01"	""	""
"7893679"	"1"	"0.0056651"	"-3.68"	"-3.01"	"-5.05e-01"	""	""
"8021043"	"1"	"0.0056993"	"3.67"	"-3.01"	"2.13e-01"	""	""
"8073056"	"1"	"0.0057192"	"-3.67"	"-3.02"	"-1.71"	"APOBEC3A_B///APOBEC3A"	"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A"
"8012126"	"1"	"0.0058063"	"-3.66"	"-3.02"	"-5.13e-01"	"CLDN7"	"claudin 7"
"7892929"	"1"	"0.0059655"	"-3.64"	"-3.03"	"-4.00e-01"	""	""
"8053482"	"1"	"0.0060486"	"3.63"	"-3.04"	"1.87e-01"	""	""
"8058145"	"1"	"0.0060618"	"3.63"	"-3.04"	"4.78e-01"	""	""
"7940028"	"1"	"0.0061279"	"-3.62"	"-3.04"	"-2.05"	"SERPING1"	"serpin family G member 1"
"8144405"	"1"	"0.0061476"	"-3.62"	"-3.04"	"-3.30e-01"	"DEFB107B///DEFB107A"	"defensin beta 107B///defensin beta 107A"
"8149230"	"1"	"0.0061476"	"-3.62"	"-3.04"	"-3.30e-01"	"DEFB107B///DEFB107A"	"defensin beta 107B///defensin beta 107A"
"7974603"	"1"	"0.0061699"	"-3.62"	"-3.04"	"-2.57e-01"	"PSMA3"	"proteasome subunit alpha 3"
"7978123"	"1"	"0.0061716"	"-3.62"	"-3.04"	"-4.67e-01"	"PSME2"	"proteasome activator subunit 2"
"7986411"	"1"	"0.0062163"	"-3.61"	"-3.05"	"-2.02e-01"	"MEF2A"	"myocyte enhancer factor 2A"
"8045347"	"1"	"0.0063798"	"3.60"	"-3.05"	"2.54e-01"	""	""
"7997500"	"1"	"0.0064612"	"-3.59"	"-3.06"	"-2.64e-01"	""	""
"8133809"	"1"	"0.0064981"	"-3.58"	"-3.06"	"-3.54e-01"	"RSBN1L"	"round spermatid basic protein 1 like"
"7893667"	"1"	"0.0065099"	"-3.58"	"-3.06"	"-4.18e-01"	""	""
"8075695"	"1"	"0.0065261"	"-3.58"	"-3.06"	"-3.97e-01"	"APOL3"	"apolipoprotein L3"
"7952735"	"1"	"0.0065528"	"3.58"	"-3.06"	"2.70e-01"	""	""
"8053379"	"1"	"0.0067106"	"-3.56"	"-3.07"	"-4.35e-01"	"TRABD2A"	"TraB domain containing 2A"
"8068214"	"1"	"0.0067557"	"3.56"	"-3.07"	"3.04e-01"	""	""
"8016532"	"1"	"0.0068029"	"-3.55"	"-3.08"	"-6.27e-01"	"GNGT2"	"G protein subunit gamma transducin 2"
"8085579"	"1"	"0.0068774"	"3.55"	"-3.08"	"4.58e-01"	""	""
"7896711"	"1"	"0.0068886"	"-3.55"	"-3.08"	"-2.82e-01"	""	""
"7917530"	"1"	"0.0068941"	"-3.55"	"-3.08"	"-5.63e-01"	"GBP2"	"guanylate binding protein 2"
"7894477"	"1"	"0.0069034"	"3.54"	"-3.08"	"2.73e-01"	""	""
"7934906"	"1"	"0.006917"	"-3.54"	"-3.08"	"-9.03e-01"	"ACTA2"	"actin, alpha 2, smooth muscle, aorta"
"7977480"	"1"	"0.006938"	"-3.54"	"-3.08"	"-3.03e-01"	""	""
"7984843"	"1"	"0.0069877"	"-3.54"	"-3.09"	"-2.81e-01"	"ARID3B"	"AT-rich interaction domain 3B"
"7919562"	"1"	"0.0071129"	"3.52"	"-3.09"	"2.47e-01"	""	""
"8043482"	"1"	"0.0071129"	"3.52"	"-3.09"	"2.47e-01"	""	""
"8077198"	"1"	"0.0071425"	"3.52"	"-3.09"	"2.96e-01"	""	""
"7921346"	"1"	"0.0071623"	"-3.52"	"-3.1"	"-4.67e-01"	"CD1B"	"CD1b molecule"
"7920470"	"1"	"0.0071913"	"-3.52"	"-3.1"	"-2.11e-01"	""	""
"7956989"	"1"	"0.0072835"	"-3.51"	"-3.1"	"-3.75e-01"	"MDM2"	"MDM2 proto-oncogene"
"8109576"	"1"	"0.0073193"	"-3.51"	"-3.1"	"-3.71e-01"	"THG1L"	"tRNA-histidine guanylyltransferase 1 like"
"8122982"	"1"	"0.007384"	"-3.50"	"-3.11"	"-2.58e-01"	"ZDHHC14"	"zinc finger DHHC-type containing 14"
"8148124"	"1"	"0.0074503"	"-3.49"	"-3.11"	"-3.93e-01"	"MTBP"	"MDM2 binding protein"
"7943367"	"1"	"0.0074698"	"3.49"	"-3.11"	"3.03e-01"	""	""
"7935588"	"1"	"0.0075017"	"3.49"	"-3.11"	"1.84e-01"	"HPS1"	"HPS1, biogenesis of lysosomal organelles complex 3 subunit 1"
"8057744"	"1"	"0.0076619"	"-3.48"	"-3.12"	"-6.64e-01"	"STAT1"	"signal transducer and activator of transcription 1"
"7991512"	"1"	"0.0077352"	"3.47"	"-3.12"	"2.88e-01"	"DNM1P46"	"dynamin 1 pseudogene 46"
"8065200"	"1"	"0.0077653"	"-3.47"	"-3.12"	"-2.22e-01"	""	""
"8021147"	"1"	"0.007797"	"-3.46"	"-3.13"	"-2.73e-01"	"IER3IP1"	"immediate early response 3 interacting protein 1"
"8073088"	"1"	"0.0078699"	"-3.46"	"-3.13"	"-6.87e-01"	"APOBEC3G"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3G"
"7959482"	"1"	"0.0078922"	"3.46"	"-3.13"	"8.55e-01"	""	""
"8086729"	"1"	"0.0079177"	"3.45"	"-3.13"	"2.92e-01"	"KIF9"	"kinesin family member 9"
"8059565"	"1"	"0.0079932"	"3.45"	"-3.13"	"1.92e-01"	"PID1"	"phosphotyrosine interaction domain containing 1"
"7906486"	"1"	"0.0080963"	"-3.44"	"-3.14"	"-2.34e-01"	"SLAMF8"	"SLAM family member 8"
"8122457"	"1"	"0.0082469"	"-3.43"	"-3.15"	"-3.11e-01"	"STX11"	"syntaxin 11"
"7895413"	"1"	"0.0082842"	"-3.42"	"-3.15"	"-1.58"	""	""
"8096905"	"1"	"0.0083898"	"-3.42"	"-3.15"	"-2.19e-01"	"AP1AR"	"adaptor related protein complex 1 associated regulatory protein"
"8018731"	"1"	"0.0084004"	"-3.42"	"-3.15"	"-3.15e-01"	"RHBDF2"	"rhomboid 5 homolog 2"
"8134079"	"1"	"0.0084568"	"-3.41"	"-3.16"	"-3.11e-01"	"GTPBP10"	"GTP binding protein 10"
"8099393"	"1"	"0.0084998"	"3.41"	"-3.16"	"3.16e-01"	""	""
"7985134"	"1"	"0.0085688"	"-3.40"	"-3.16"	"-2.28e-01"	"IDH3A"	"isocitrate dehydrogenase 3 (NAD(+)) alpha"
"8162039"	"1"	"0.0085875"	"-3.40"	"-3.16"	"-2.94e-01"	"C9orf64"	"chromosome 9 open reading frame 64"
"8118804"	"1"	"0.0086709"	"-3.39"	"-3.16"	"-2.76e-01"	"PACSIN1"	"protein kinase C and casein kinase substrate in neurons 1"
"8158523"	"1"	"0.0087065"	"-3.39"	"-3.17"	"-2.30e-01"	"PTPA"	"protein phosphatase 2 phosphatase activator"
"8145055"	"1"	"0.0088859"	"-3.38"	"-3.17"	"-2.37e-01"	"BMP1"	"bone morphogenetic protein 1"
"8175267"	"1"	"0.0088938"	"3.38"	"-3.17"	"2.63e-01"	""	""
"8101852"	"1"	"0.0089375"	"-3.37"	"-3.18"	"-1.85e-01"	"ADH4"	"alcohol dehydrogenase 4 (class II), pi polypeptide"
"8142981"	"1"	"0.0089485"	"3.37"	"-3.18"	"3.17e-01"	"PODXL"	"podocalyxin like"
"7902634"	"1"	"0.008959"	"-3.37"	"-3.18"	"-2.16e-01"	"RPF1"	"ribosome production factor 1 homolog"
"7895237"	"1"	"0.0090206"	"-3.37"	"-3.18"	"-3.02e-01"	""	""
"8011713"	"1"	"0.0090971"	"-3.36"	"-3.18"	"-4.58e-01"	"CXCL16"	"C-X-C motif chemokine ligand 16"
"7945730"	"1"	"0.0093242"	"-3.35"	"-3.19"	"-2.60e-01"	"ASCL2"	"achaete-scute family bHLH transcription factor 2"
"7990027"	"1"	"0.0094316"	"3.34"	"-3.2"	"4.58e-01"	"ANP32A-IT1"	"ANP32A intronic transcript 1"
"8175391"	"1"	"0.0094715"	"3.34"	"-3.2"	"4.24e-01"	""	""
"7969204"	"1"	"0.009493"	"3.34"	"-3.2"	"2.55e-01"	"WDFY2"	"WD repeat and FYVE domain containing 2"
"8023220"	"1"	"0.0095155"	"-3.33"	"-3.2"	"-2.99e-01"	"SMAD7"	"SMAD family member 7"
"8096459"	"1"	"0.0095352"	"3.33"	"-3.2"	"6.07e-01"	""	""
"8036525"	"1"	"0.009547"	"3.33"	"-3.2"	"3.56e-01"	"MAP4K1"	"mitogen-activated protein kinase kinase kinase kinase 1"
"8062377"	"1"	"0.009551"	"-3.33"	"-3.2"	"-2.83e-01"	"SRC"	"SRC proto-oncogene, non-receptor tyrosine kinase"
"8174496"	"1"	"0.0095827"	"3.33"	"-3.2"	"2.68e-01"	"AMMECR1"	"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
"7893753"	"1"	"0.0096237"	"-3.33"	"-3.2"	"-5.31e-01"	""	""
"7893601"	"1"	"0.0096518"	"3.32"	"-3.2"	"3.10e-01"	""	""
"7918345"	"1"	"0.0096938"	"-3.32"	"-3.21"	"-1.94e-01"	"PSMA5"	"proteasome subunit alpha 5"
"7982056"	"1"	"0.0097449"	"3.32"	"-3.21"	"2.20e-01"	"SNORD115-25"	"small nucleolar RNA, C/D box 115-25"
"7956987"	"1"	"0.0099424"	"-3.31"	"-3.22"	"-3.15e-01"	""	""
"7904166"	"1"	"0.0099769"	"3.30"	"-3.22"	"4.39e-01"	""	""
"8014349"	"1"	"0.0100871"	"3.30"	"-3.22"	"7.36e-01"	"CCL15-CCL14///CCL15///CCL14"	"CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 15///C-C motif chemokine ligand 14"
"7929344"	"1"	"0.0100932"	"-3.30"	"-3.22"	"-8.87e-01"	"FFAR4"	"free fatty acid receptor 4"
"8048926"	"1"	"0.0101867"	"-3.29"	"-3.22"	"-3.48e-01"	"SP140L"	"SP140 nuclear body protein like"
"8117071"	"1"	"0.0102766"	"-3.28"	"-3.23"	"-2.37e-01"	"FAM8A1"	"family with sequence similarity 8 member A1"
"8026520"	"1"	"0.0104496"	"-3.27"	"-3.23"	"-2.76e-01"	"RAB8A"	"RAB8A, member RAS oncogene family"
"7895281"	"1"	"0.0105519"	"-3.27"	"-3.24"	"-5.46e-01"	""	""
"8023259"	"1"	"0.0106273"	"-3.26"	"-3.24"	"-4.93e-01"	"SNORD58A"	"small nucleolar RNA, C/D box 58A"
"7961962"	"1"	"0.0106354"	"-3.26"	"-3.24"	"-1.79e-01"	""	""
"7903393"	"1"	"0.0106385"	"3.26"	"-3.24"	"5.44e-01"	"S1PR1"	"sphingosine-1-phosphate receptor 1"
"7896726"	"1"	"0.010693"	"-3.26"	"-3.24"	"-8.34e-01"	""	""
"8163107"	"1"	"0.0107446"	"3.26"	"-3.24"	"4.51e-01"	"MIR32"	"microRNA 32"
"8180338"	"1"	"0.0108188"	"-3.25"	"-3.25"	"-2.15e-01"	"CXorf56"	"chromosome X open reading frame 56"
"7925509"	"1"	"0.0108318"	"3.25"	"-3.25"	"2.60e-01"	""	""
"8166607"	"1"	"0.0108685"	"-3.25"	"-3.25"	"-4.25e-01"	""	""
"8073081"	"1"	"0.0108818"	"-3.25"	"-3.25"	"-7.49e-01"	"APOBEC3F"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3F"
"7973564"	"1"	"0.0108901"	"-3.25"	"-3.25"	"-2.33e-01"	"PSME1"	"proteasome activator subunit 1"
"7947676"	"1"	"0.0108923"	"-3.25"	"-3.25"	"-2.43e-01"	"HARBI1"	"harbinger transposase derived 1"
"8117722"	"1"	"0.0109234"	"3.24"	"-3.25"	"1.89e-01"	"OR14J1"	"olfactory receptor family 14 subfamily J member 1"
"8177698"	"1"	"0.0109234"	"3.24"	"-3.25"	"1.89e-01"	"OR14J1"	"olfactory receptor family 14 subfamily J member 1"
"8171879"	"1"	"0.0109504"	"-3.24"	"-3.25"	"-3.01e-01"	""	""
"8176476"	"1"	"0.011004"	"-3.24"	"-3.25"	"-1.90e-01"	""	""
"8038760"	"1"	"0.0110112"	"3.24"	"-3.25"	"1.80e-01"	"KLK13"	"kallikrein related peptidase 13"
"7943969"	"1"	"0.0110883"	"3.23"	"-3.26"	"2.27e-01"	"HTR3A"	"5-hydroxytryptamine receptor 3A"
"7980940"	"1"	"0.0111285"	"-3.23"	"-3.26"	"-2.32e-01"	"ATXN3///ATXN8///ATXN3"	"ataxin 3///ataxin 8///ataxin 3"
"7946781"	"1"	"0.011173"	"-3.23"	"-3.26"	"-2.37e-01"	"PLEKHA7"	"pleckstrin homology domain containing A7"
"8144857"	"1"	"0.0111844"	"-3.23"	"-3.26"	"-3.04e-01"	"NAT1"	"N-acetyltransferase 1"
"8123338"	"1"	"0.011269"	"-3.22"	"-3.26"	"-1.87e-01"	""	""
"7999412"	"1"	"0.0113385"	"-3.22"	"-3.26"	"-4.70e-01"	"TVP23A"	"trans-golgi network vesicle protein 23 homolog A"
"8128111"	"1"	"0.0113393"	"-3.22"	"-3.26"	"-2.28e-01"	"UBE2J1"	"ubiquitin conjugating enzyme E2 J1"
"7946275"	"1"	"0.0113689"	"-3.22"	"-3.27"	"-3.60e-01"	"GVINP1"	"GTPase, very large interferon inducible pseudogene 1"
"8026751"	"1"	"0.011442"	"3.21"	"-3.27"	"2.02e-01"	"MVB12A"	"multivesicular body subunit 12A"
"7892767"	"1"	"0.0115129"	"3.21"	"-3.27"	"5.13e-01"	""	""
"7947338"	"1"	"0.0115802"	"-3.21"	"-3.27"	"-2.18e-01"	"PAX6"	"paired box 6"
"7894664"	"1"	"0.0116335"	"3.20"	"-3.27"	"2.54e-01"	""	""
"8117034"	"1"	"0.0116355"	"-3.20"	"-3.27"	"-1.38"	"GMPR"	"guanosine monophosphate reductase"
"7896426"	"1"	"0.0116882"	"-3.20"	"-3.28"	"-3.69e-01"	""	""
"7893326"	"1"	"0.011752"	"3.20"	"-3.28"	"7.33e-01"	""	""
"7937104"	"1"	"0.0117535"	"3.20"	"-3.28"	"2.74e-01"	"LINC01165"	"long intergenic non-protein coding RNA 1165"
"7895109"	"1"	"0.0117834"	"-3.20"	"-3.28"	"-9.62e-01"	""	""
"8097066"	"1"	"0.011835"	"-3.19"	"-3.28"	"-2.31e-01"	"METTL14"	"methyltransferase like 14"
"8052908"	"1"	"0.0118787"	"-3.19"	"-3.28"	"-7.86e-01"	"CLEC4F"	"C-type lectin domain family 4 member F"
"8079628"	"1"	"0.0119112"	"3.19"	"-3.28"	"2.30e-01"	""	""
"8099826"	"1"	"0.0119261"	"-3.19"	"-3.28"	"-2.21e-01"	"TLR10"	"toll like receptor 10"
"7893311"	"1"	"0.0119261"	"3.19"	"-3.28"	"6.83e-01"	""	""
"7895146"	"1"	"0.0121167"	"3.18"	"-3.29"	"5.63e-01"	""	""
"7954559"	"1"	"0.0121228"	"-3.18"	"-3.29"	"-4.60e-01"	"PPFIBP1///ALK"	"PPFIA binding protein 1///anaplastic lymphoma receptor tyrosine kinase"
"7892957"	"1"	"0.0121639"	"3.18"	"-3.29"	"5.24e-01"	""	""
"8148059"	"1"	"0.0121772"	"3.17"	"-3.29"	"7.68e-01"	"DEPTOR"	"DEP domain containing MTOR-interacting protein"
"8094518"	"1"	"0.0122126"	"-3.17"	"-3.29"	"-2.29e-01"	""	""
"7947199"	"1"	"0.012318"	"3.17"	"-3.3"	"3.84e-01"	"LGR4"	"leucine rich repeat containing G protein-coupled receptor 4"
"8056995"	"1"	"0.0124034"	"-3.16"	"-3.3"	"-3.00e-01"	"TTC30B"	"tetratricopeptide repeat domain 30B"
"7968035"	"1"	"0.0125121"	"-3.16"	"-3.3"	"-1.78e-01"	"SPATA13"	"spermatogenesis associated 13"
"7896507"	"1"	"0.012527"	"3.16"	"-3.3"	"3.99e-01"	""	""
"7975284"	"1"	"0.01253"	"-3.16"	"-3.3"	"-1.96e-01"	"RDH12"	"retinol dehydrogenase 12 (all-trans/9-cis/11-cis)"
"7922752"	"1"	"0.0125728"	"3.15"	"-3.3"	"2.52e-01"	""	""
"8136187"	"1"	"0.0126133"	"-3.15"	"-3.31"	"-2.75e-01"	"CPA2"	"carboxypeptidase A2"
